!@!	¹Ì¼Ò
-_¤Ì	½½ÇÁ´Ù
-_¤Ì*	°¨»çÇØ
-_¤Ì;;	È²´ç
-_¤Ð	½½ÇÁ´Ù
-_¤Ð	½½ÇÁ´Ù
-_¤Ð*	È²´ç
-¢½(	»ç¶ûÇØ
-¤±-	¹Ì¼Ò
-¤±-	¹Ì¼Ò
-¤±-	½½ÇÁ´Ù
-¤±-;	È²´ç
-¤±-;;;;;	¹Ì¼Ò
-¤·-	È²´ç
-¤Ì	½½ÇÁ´Ù
._+	¹Ì¼Ò
.¤Ð.¤Ð.	½½ÇÁ´Ù
.¤Ñ	È²´ç
.¤Ñ.¤Ñ;;;;(	È²´ç
1µîÇØ¶ó	È­ÀÌÆÃ
3¸íÀÌ¼­?	È²´ç
4¶ûÇØ	»ç¶ûÇØ
500¸¶³Í ¿À¸µ	È²´ç
:)	¹Ì¼Ò
:)	¹Ì¼Ò
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;	È²´ç
;;;	È²´ç
;;;	È²´ç
;;;	È²´ç
;;;	È²´ç
;;;	È²´ç
;;;	È²´ç
;¤±;	È²´ç
;¤¾¤¾	¿ô±ä´Ù
=-=	½½ÇÁ´Ù
=-_¤Ð	½½ÇÁ´Ù
=.=	È²´ç
==;	È²´ç
=_=	»ç¶ûÇØ
=_=	¿ô±ä´Ù
=_=	È²´ç
=_=	È²´ç
=_=+	È²´ç
=¤±=	¹Ì¼Ò
>-<	È²´ç
>-<!!	¹Ì¼Ò
>-<¢½	»ç¶ûÇØ
>.<	¹Ì¼Ò
>.<	¹Ì¾ÈÇØ
>.<	È²´ç
><	È²´ç
>>¤Á¤·¤¿¤·¤¿	¿ô±ä´Ù
>_<	¹Ì¼Ò
>_<	¹Ì¼Ò
>_<	¹Ì¼Ò
>_< 	¹Ì¼Ò
>_<	»ç¶ûÇØ
>_<	½½ÇÁ´Ù
>_<	È²´ç
>_<	È²´ç
>_<	È²´ç
>_<	È²´ç
>_<:::: 	¹Ì¼Ò
>_<;;;	È²´ç
>¤µ<	¹Ì¼Ò
>¤µ<	¹Ì¼Ò
>¤µ<	È²´ç
>¤·<	È²´ç
??¤»	¿ô±ä´Ù
@!	È²´ç
@.@	È²´ç
@@@@@	ÇÇ°ïÇØ
@_@	¹Ì¼Ò
@_@	½½ÇÁ´Ù
@_@	ÇÇ°ïÇØ
AI~	½½ÇÁ´Ù
Birthday!	¹Ì¼Ò
Birthday!	¹Ì¼Ò
Good	¹Ì¼Ò
Goodnight	¾È³ç
LOVE	»ç¶ûÇØ
Love	»ç¶ûÇØ
Nice day	¾È³ç
OK	OK
T T	½½ÇÁ´Ù
T T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
T.T	½½ÇÁ´Ù
TT	½½ÇÁ´Ù
TT	½½ÇÁ´Ù
T_T	½½ÇÁ´Ù
T_T 	½½ÇÁ´Ù
Thankyou	°¨»çÇØ
ZZZ	ÇÇ°ïÇØ
[...]	È²´ç
^ ^	¹Ì¼Ò
^ ^	¹Ì¼Ò
^ ^	¹Ì¼Ò
^ ^	¹Ì¼Ò
^	¹Ì¼Ò
^*^	¹Ì¼Ò
^*^	¹Ì¼Ò
^--^	¹Ì¼Ò
^--^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^	¹Ì¼Ò
^-^/	¹Ì¼Ò
^-^/	¾È³ç
^-^/	¾È³ç
^-^;;	¹Ì¼Ò
^-^;;	¹Ì¼Ò
^.^	¹Ì¼Ò
^.^	¿ô±ä´Ù
^.~(	¹Ì¼Ò
^0^	¹Ì¼Ò
^0^ 	¹Ì¼Ò
^0^	¹Ì¼Ò
^0^	¹Ì¼Ò
^0^	¹Ì¼Ò
^0^	¹Ì¼Ò
^0^!	¹Ì¼Ò
^=^	¿ô±ä´Ù
^O^	¹Ì¼Ò
^O^	¹Ì¼Ò
^^	°¨»çÇØ
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¹Ì¼Ò
^^	¾È³ç
^^	¿ô±ä´Ù
^^	¿ô±ä´Ù
^^	¿ô±ä´Ù
^^"¤¾	¿ô±ä´Ù
^^&	¹Ì¼Ò
^^&	»ç¶ûÇØ
^^''	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^(	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¹Ì¼Ò
^^*	¿ô±ä´Ù
^^*(	¹Ì¼Ò
^^*(	¹Ì¼Ò
^^.	¹Ì¼Ò
^^/	¾È³ç
^^:	¹Ì¼Ò
^^:	¹Ì¼Ò
^^:	¿ô±ä´Ù
^^:;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	¹Ì¼Ò
^^;	È²´ç
^^;	È²´ç
^^;	È²´ç
^^;!!	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¹Ì¼Ò
^^;;	¿ô±ä´Ù
^^;;	¿ô±ä´Ù
^^;;	È²´ç
^^;;	È²´ç
^^;;	È²´ç
^^;;	È²´ç
^^;;(	¹Ì¼Ò
^^;;;	¹Ì¼Ò
^^;;;	¹Ì¼Ò
^^;;;	¹Ì¼Ò
^^;;;	¹Ì¼Ò
^^;;;	È²´ç
^^?	¹Ì¼Ò
^^V	¹Ì¼Ò
^^v	¹Ì¼Ò
^^¢½	»ç¶ûÇØ
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¹Ì¼Ò
^^¤»	¿ô±ä´Ù
^^¤»¤»	¹Ì¼Ò
^^¤»¤»	¹Ì¼Ò
^_^	¹Ì¼Ò
^_^	¹Ì¼Ò
^_^	¹Ì¼Ò
^_^	¹Ì¼Ò
^_^(	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^ 	¹Ì¼Ò
^__^	¹Ì¼Ò
^__^	¹Ì¼Ò
^_______^	¹Ì¼Ò
^o^	¹Ì¼Ò
^¤±^	¹Ì¼Ò
^¤±^	¹Ì¼Ò
^¤·^	¹Ì¼Ò
^¤·^	¹Ì¼Ò
^¤Ð	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^ 	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^ 	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¹Ì¼Ò
^¤Ñ^	¿ô±ä´Ù
^¤Ñ^(	¹Ì¼Ò
^¤Ñ^;	È²´ç
_ _)	¾È³ç
_+	¹Ì¼Ò
__)	¾È³ç
__)	¾È³ç
_¤Ð	½½ÇÁ´Ù
good	OK
good day	¾È³ç
good!	¹Ì¼Ò
go¿ä	È­ÀÌÆÃ
hi	¾È³ç
i0i	½½ÇÁ´Ù
love	»ç¶ûÇØ
m^^m	¹Ì¼Ò
nice day!	¾È³ç
ok	OK
ok	OK
sorry	¹Ì¾ÈÇØ
~ Áñ °Ì °Ô º¸ ³» ~ 	¾È³ç
~!~	¹Ì¼Ò
~>.<~	¹Ì¼Ò
~^	¹Ì¼Ò
~^^	¹Ì¼Ò
~_~;	¹Ì¼Ò
~~	OK
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	¹Ì¼Ò
~~	»ç¶ûÇØ
~~	½½ÇÁ´Ù
~¤»	¹Ì¼Ò
~¤»	¹Ì¼Ò
~¤»	¿ô±ä´Ù
«ÀÖ¾ú½À´Ï´Ù	°¨»çÇØ
Ã	¹Ì¾ÈÇØ
Ã	¹Ì¾ÈÇØ
”›À¸¸é ÁÁ°Ú¾î¿ä	¾È³ç
¡Ã¡Ô¡Â	¿ô±ä´Ù
¡Ù(¡û______¡û)¡Ù	¹Ì¼Ò
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½	»ç¶ûÇØ
¢½¢½	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾	»ç¶ûÇØ
¢¾¢¾	»ç¶ûÇØ
¢¾¢¾¢¾	»ç¶ûÇØ
¢Ý 	¹Ì¼Ò
¢Ý	¹Ì¼Ò
¤¡ ¤À ¤¸ ¤¿ ½Ä¾Æ	È­³ª¿ä
¤¡¤ÓºÐÁÁ¤§¤¿	¹Ì¼Ò
¤¡¤ÓºÐÁÁ¤§¤¿	¹Ì¼Ò
¤± ¤Ó¤· ¤Ã	È­³ª¿ä
¤±_¤±;;	¹Ì¼Ò
¤² ¤¿¤² ¤Ã	¹Ì¼Ò
¤² ¤Ã¤¡ ¤Ã¤µ ¤Ó¤½ ¤Ã	»ç¶ûÇØ
¤²¤²	¹Ì¼Ò
¤³ ¤¿ ¤· ¤Ó	¾È³ç
¤³¤¿ ¤³¤¿	¾È³ç
¤·_¤·	¹Ì¼Ò
¤·¤»	OK
¤·¤»	OK
¤·¤»?	OK
¤¹¤¹	½½ÇÁ´Ù
¤¹¤¹	È²´ç
¤º¤»¤º¤»	¹Ì¼Ò
¤» ¤Á¤» ¤Á	¿ô±ä´Ù
¤» ¤Á¤» ¤Á	¿ô±ä´Ù
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
¤»	¹Ì¼Ò
